demographics_term,student_ID,major_term,course_prefix,course_number,course_suffix,course_credits,course_grade_letter
201008,25,BIO,MATH,1070,,3.0,C
201008,25,BIO,MGS,3100,,3.0,W
201008,25,BIO,PHIL,3730,,3.0,B
201008,25,BIO,RMI,3500,,3.0,A-
201008,25,BIO,HIST,2110,,3.0,B-
201008,18,PSY,PSYC,2101,,3.0,B
201008,18,PSY,AAS,2010,,3.0,B
201008,18,PSY,GERO,4130,,3.0,B+
201008,18,PSY,PSYC,2040,,3.0,A-
201008,18,PSY,JOUR,1000,,3.0,A-
201008,6,PSY,PSYC,3510,,4.0,B+
201008,6,PSY,PSYC,2101,,3.0,B+
201008,6,PSY,PSYC,4160,,3.0,B+
201008,6,PSY,THEA,2040,,3.0,A
201008,35,CHM,CHEM,3100,,2.0,B
201008,35,CHM,SCOM,1000,,2.0,A-
201008,35,CHM,MATH,2212,,4.0,C
201008,35,CHM,CHEM,2401,,1.0,A
201008,35,CHM,SPAN,2002,,3.0,B
201008,35,CHM,CHEM,2400,,4.0,C+
201008,56,BIO,HIST,2110,,3.0,C
201008,56,BIO,MATH,1070,,3.0,B
201008,56,BIO,PHIL,2010,,3.0,B
201008,56,BIO,BIOL,2108,K,4.0,A-
201008,111,PSY,ENGL,1101,,3.0,A
201008,111,PSY,CHEM,1211,K,4.0,A-
201008,111,PSY,MATH,1111,,3.0,A
201008,111,PSY,PHIL,1010,,2.0,A
201008,111,PSY,MSL,1010,,1.0,A+%
201008,117,BIO,CHEM,1211,K,4.0,A
201008,117,BIO,HIST,2110,,3.0,B-
201008,117,BIO,ENGL,1101,,3.0,B+
201008,117,BIO,PERS,2002,,2.0,B
201008,117,BIO,SCOM,1000,,2.0,A
201008,117,BIO,MATH,1070,,3.0,A
201008,119,PSY,MSL,1010,,1.0,A+%
201008,119,PSY,GEOL,1121,K,4.0,B+
201008,119,PSY,SPAN,1002,,3.0,C
201008,119,PSY,ASTR,1010,,4.0,A
201008,121,PSY,FLME,2700,,3.0,B
201008,121,PSY,SPAN,1002,,3.0,B-
201008,121,PSY,SCOM,1000,,2.0,B
201008,121,PSY,ASTR,1010,,4.0,B+
201008,152,PSY,PSYC,2070,,3.0,B
201008,152,PSY,PSYC,4510,,3.0,A
201008,152,PSY,PSYC,2101,,3.0,B+
201008,152,PSY,HIST,1140,,3.0,B
201008,149,CHM,BIOL,2300,,3.0,C
201008,149,CHM,GSU,1010,,1.0,A+
201008,149,CHM,PERS,2001,,2.0,A
201008,149,CHM,POLS,1101,,3.0,B
201008,149,CHM,ENGL,1101,,3.0,A+
201008,149,CHM,CHEM,1151,K,4.0,C
201008,150,CHM,MUS,1061,,1.0,A
201008,150,CHM,PSYC,1101,,3.0,B
201008,150,CHM,CHEM,1211,K,4.0,B-
201008,150,CHM,MATH,2211,,4.0,B+
201008,150,CHM,ENGL,1101,,3.0,A
201008,151,BIO,CHEM,1050,,3.0,B
201008,151,BIO,POLS,1101,,3.0,A
201008,151,BIO,MATH,1111,,3.0,B
201008,151,BIO,ENGL,1101,,3.0,A
201008,151,BIO,HIST,2110,,3.0,B
201008,137,BIO,PHIL,1010,,2.0,B-
201008,137,BIO,BIOL,2300,,3.0,A
201008,137,BIO,GSU,1010,,1.0,A+
201008,137,BIO,PSYC,1101,,3.0,B+
201008,137,BIO,ENGL,1101,,3.0,A
201008,137,BIO,MATH,1111,,3.0,B+
201008,136,PSY,CHEM,1151,K,4.0,A
201008,136,PSY,MATH,1101,,3.0,A+
201008,136,PSY,ENGL,1101,,3.0,A-
201008,136,PSY,PSYC,1101,,3.0,A-
201008,135,PSY,ENGL,1101,,3.0,B+
201008,135,PSY,MATH,1101,,3.0,A
201008,135,PSY,POLS,2401,,3.0,C+
201008,135,PSY,SOCI,1101,,3.0,A+
201008,135,PSY,PERS,2001,,2.0,B
201008,135,PSY,GSU,1010,,1.0,A+
201008,134,CHM,CHEM,1211,K,4.0,C
201008,134,CHM,POLS,1101,,3.0,A-
201008,134,CHM,MATH,1113,,3.0,B
201008,134,CHM,PHIL,1010,,2.0,B
201008,134,CHM,GSU,1010,,1.0,B+
201008,134,CHM,ENGL,1101,,3.0,A-
201008,139,BIO,PERS,2001,,2.0,B+
201008,139,BIO,GSU,1010,,3.0,B+
201008,139,BIO,ENGL,1101,,3.0,B
201008,139,BIO,SCOM,2050,,3.0,B
201008,139,BIO,WST,2010,,3.0,B+
201008,101,BIO,PHYS,1111,K,4.0,B+
201008,101,BIO,ENGL,1101,,3.0,B+
201008,101,BIO,CHEM,1211,K,4.0,B+
201008,101,BIO,MATH,1113,,3.0,B
201008,104,PSY,ENGL,1102,,3.0,A
201008,104,PSY,ECON,2106,,3.0,B
201008,104,PSY,HON,1000,,1.0,S
201008,104,PSY,HIST,2110,,3.0,A
201008,104,PSY,MATH,1101,,3.0,A
201008,104,PSY,AH,1700,,3.0,A-
201008,103,PSY,MATH,1101,,3.0,A-
201008,103,PSY,PERS,2001,,2.0,A
201008,103,PSY,GSU,1010,,1.0,B
201008,103,PSY,ENGL,1101,,3.0,B+
201008,103,PSY,PSYC,1101,,3.0,B
201008,103,PSY,HIST,2110,,3.0,C+
201008,107,BIO,PERS,2001,,2.0,B+
201008,107,BIO,HIST,2110,,3.0,B
201008,107,BIO,MATH,1111,,3.0,B
201008,107,BIO,ENGL,1101,,3.0,B
201008,107,BIO,CHEM,1151,K,4.0,C+
201008,106,CHM,GSU,1010,,1.0,C-
201008,106,CHM,SCOM,1000,,2.0,A-
201008,106,CHM,ENGL,1101,,3.0,A-
201008,106,CHM,MATH,1111,,3.0,B+
201008,106,CHM,ECON,2100,,3.0,B
201008,106,CHM,POLS,2401,,3.0,B
201008,91,BIO,RELS,2001,,3.0,A-
201008,91,BIO,SCOM,1000,,2.0,A
201008,91,BIO,MATH,1070,,3.0,B
201008,91,BIO,PHIL,1010,,2.0,B-
201008,91,BIO,ANTH,1102,,3.0,B-
201008,91,BIO,ENGL,1101,,3.0,A
201008,95,BIO,ENGL,1101,,3.0,A-
201008,95,BIO,MATH,1111,,3.0,A
201008,95,BIO,PHIL,1010,,2.0,B+
201008,95,BIO,GSU,1010,,1.0,A
201008,95,BIO,MATH,1070,,3.0,B+
201008,94,BIO,ENGL,1101,,3.0,A
201008,94,BIO,POLS,2401,,3.0,C+
201008,94,BIO,GSU,1010,,1.0,A
201008,94,BIO,RELS,2001,,3.0,B+
201008,94,BIO,PERS,2001,,2.0,A-
201008,94,BIO,PSYC,1101,,3.0,B
201008,96,CHM,ENGL,1101,,3.0,A+
201008,96,CHM,HIST,2110,,3.0,B-
201008,96,CHM,PERS,2001,,2.0,A
201008,96,CHM,SPAN,3303,,3.0,B-
201008,96,CHM,GSU,1010,,1.0,A
201008,96,CHM,ANTH,1102,,3.0,B
201008,90,BIO,MATH,1113,,3.0,C
201008,90,BIO,ENGL,1102,,3.0,A-
201008,90,BIO,HIST,2110,,3.0,A-
201008,90,BIO,PHIL,1010,,2.0,C+
201008,90,BIO,CHEM,1211,K,4.0,B
201008,90,BIO,GSU,1010,,1.0,B
201008,88,PSY,PERS,2001,,2.0,C-
201008,88,PSY,FLME,2700,,3.0,A-
201008,88,PSY,PHIL,2010,,3.0,B-
201008,88,PSY,ENGL,1101,,3.0,A-
201008,88,PSY,SCOM,1000,,2.0,A+
201008,87,CHM,CHEM,1211,K,4.0,B
201008,87,CHM,HIST,2110,,3.0,B+
201008,87,CHM,MATH,1111,,3.0,B-
201008,87,CHM,SCOM,1500,,3.0,A
201008,87,CHM,ENGL,1101,,3.0,A+
201008,86,BIO,CSC,2010,,3.0,B
201008,86,BIO,BIOL,3840,,3.0,B
201008,86,BIO,BIOL,3810,,3.0,C+
201008,86,BIO,BIOL,3800,,3.0,C
201008,92,BIO,PERS,2001,,2.0,A+
201008,92,BIO,GSU,1010,,3.0,A+
201008,92,BIO,MATH,1101,,3.0,C+
201008,92,BIO,ENGL,1102,,3.0,C+
201008,92,BIO,PSYC,1101,,3.0,A-
201008,97,CHM,ENGL,1102,,3.0,B
201008,97,CHM,POLS,2401,,3.0,D
201008,97,CHM,GSU,1010,,1.0,B
201008,97,CHM,SCOM,1000,,2.0,C
201008,97,CHM,ANTH,1102,,3.0,W
201008,97,CHM,HIST,2110,,3.0,C
201008,98,BIO,MATH,1113,,3.0,A-
201008,98,BIO,GSU,1010,,1.0,A
201008,98,BIO,HON,1000,,1.0,S
201008,98,BIO,CHEM,1211,K,4.0,A
201008,98,BIO,PHIL,1010,,2.0,B
201008,98,BIO,ENGL,1101,,3.0,A
201008,69,BIO,TURK,1001,,3.0,A+
201008,69,BIO,FLME,1010,,3.0,A
201008,69,BIO,MATH,1101,,3.0,A
201008,69,BIO,PHIL,2010,,3.0,B+
201008,71,PSY,ECON,2100,,3.0,C+
201008,71,PSY,POLS,1101,,3.0,C
201008,71,PSY,GSU,1010,,1.0,B+
201008,71,PSY,PHIL,2010,,3.0,F
201008,71,PSY,ENGL,1101,,3.0,B+
201008,71,PSY,PERS,2001,,2.0,W
201008,82,CHM,BIOL,2300,,3.0,B
201008,82,CHM,ENGL,1101,,3.0,A-
