student_ID,demographics_term,semester_number,term_earliest,academic_year,major_term,major_term_earliest,major_graduation,graduation_level,graduation_status,graduation_date,graduation_date_bachelors,student_level,transfer_hours_term,flag_transfer,max_course_term,major_term_name
0,201401,1,201401,2014,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,139.0,1,201401,Biology
1,201108,1,201105,2012,CHM,CHM,"(nan,)","(nan,)","(nan,)","(nan,)",,US,55.31,1,202408,Chemistry
1,201205,2,201105,2012,CHM,CHM,"(nan,)","(nan,)","(nan,)","(nan,)",,US,55.31,1,202408,Chemistry
1,201708,3,201105,2018,CHM,CHM,"(nan,)","(nan,)","(nan,)","(nan,)",,US,55.31,1,202408,Chemistry
2,201501,1,201501,2015,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,52.99,1,201501,Psychology
3,201901,1,201901,2019,PSY,PSY,"('SPCM',)","('B',)","('Awarded',)","('8/9/2022',)",2022-08-09,US,,0,202205,Other
3,201905,2,201901,2019,PSY,PSY,"('SPCM',)","('B',)","('Awarded',)","('8/9/2022',)",2022-08-09,US,,0,202205,Other
3,201908,3,201901,2020,PSY,PSY,"('SPCM',)","('B',)","('Awarded',)","('8/9/2022',)",2022-08-09,US,,0,202205,Other
3,202001,4,201901,2020,PSY,PSY,"('SPCM',)","('B',)","('Awarded',)","('8/9/2022',)",2022-08-09,US,7.0,0,202205,Psychology
3,202005,5,201901,2020,PSY,PSY,"('SPCM',)","('B',)","('Awarded',)","('8/9/2022',)",2022-08-09,US,7.0,0,202205,Psychology
3,202008,6,201901,2021,PSY,PSY,"('SPCM',)","('B',)","('Awarded',)","('8/9/2022',)",2022-08-09,US,7.0,0,202205,Psychology
3,202101,7,201901,2021,PSY,PSY,"('SPCM',)","('B',)","('Awarded',)","('8/9/2022',)",2022-08-09,US,7.0,0,202205,Psychology
3,202105,8,201901,2021,PSY,PSY,"('SPCM',)","('B',)","('Awarded',)","('8/9/2022',)",2022-08-09,US,7.0,0,202205,Psychology
3,202108,9,201901,2022,PSY,PSY,"('SPCM',)","('B',)","('Awarded',)","('8/9/2022',)",2022-08-09,US,7.0,0,202205,Psychology
3,202201,10,201901,2022,PSY,PSY,"('SPCM',)","('B',)","('Awarded',)","('8/9/2022',)",2022-08-09,US,7.0,0,202205,Psychology
3,202205,11,201901,2022,PSY,PSY,"('SPCM',)","('B',)","('Awarded',)","('8/9/2022',)",2022-08-09,US,7.0,0,202205,Psychology
4,201208,1,201208,2013,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,80.99,1,201501,Biology
4,201301,2,201208,2013,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,80.99,1,201501,Biology
4,201305,3,201208,2013,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,80.99,1,201501,Biology
4,201308,4,201208,2014,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,80.99,1,201501,Biology
4,201401,5,201208,2014,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,80.99,1,201501,Biology
4,201408,6,201208,2015,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,80.99,1,201501,Biology
4,201501,7,201208,2015,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,80.99,1,201501,Biology
5,201208,1,201208,2013,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,,0,201208,Psychology
