,demographics_term,student_ID,course_prefix,course_number,course_suffix,course_credits,course_grade_letter,demographics_race,demographics_sex,major_term,term_earliest,major_term_earliest
0,201508,0,CHEM,2400,,4.0,B+,WZ,F,BIO,201108.0,BIO
1,201508,1,CHEM,1211,K,4.0,W,BIWZ,F,BIO,201108.0,BIO
2,201508,2,CHEM,1211,K,4.0,A+,Z,F,BIO,201108.0,BIO
3,201508,3,CHEM,2400,,4.0,C-,Z,F,BIO,201108.0,BIO
4,201508,4,CHEM,1212,K,4.0,F,B,M,BIO,201108.0,BIO
5,201508,5,CHEM,1211,K,4.0,A+,W,F,NUR,201108.0,NUR
6,201508,6,CHEM,1211,K,4.0,W,,F,BIO,201108.0,BIO
7,201508,7,CHEM,2400,,4.0,C-,Z,M,CSC,201108.0,CSC
8,201508,8,CHEM,1211,K,4.0,W,W,F,BIO,201108.0,BIO
9,201508,9,CHEM,2400,,4.0,W,B,M,BIO,201108.0,BIO
10,201508,10,CHEM,2400,,4.0,B+,B,M,0000,201108.0,0000
11,201508,11,CHEM,1211,K,4.0,A,W,M,PSY,201108.0,PSY
12,201508,12,CHEM,1211,K,4.0,C-,B,M,BIO,201108.0,BIO
13,201508,13,CHEM,2400,,4.0,B-,Z,F,BIO,201108.0,BIO
14,201508,14,CHEM,1211,K,4.0,A+,,M,BIO,201108.0,BIO
15,201508,15,CHEM,1211,K,4.0,C+,Z,M,CHM,201108.0,CHM
16,201508,16,CHEM,1211,K,4.0,W,B,M,CIS,201108.0,CIS
17,201508,17,CHEM,2400,,4.0,A,Z,F,BIO,201108.0,BIO
18,201508,18,CHEM,1211,K,4.0,W,W,F,ECE,201108.0,ECE
19,201508,19,CHEM,1211,K,4.0,C+,B,M,BIO,201108.0,BIO
20,201508,20,CHEM,1211,K,4.0,C-,B,M,BIO,201108.0,BIO
21,201508,21,CHEM,2400,,4.0,C+,,F,BIO,201108.0,BIO
22,201508,22,CHEM,1212,K,4.0,C,B,F,CHM,201108.0,CHM
23,201508,23,CHEM,2400,,4.0,F,W,F,IEML,201108.0,IEML
24,201508,24,CHEM,1211,K,4.0,C,W,F,BIO,201108.0,BIO
25,201508,25,CHEM,1211,K,4.0,C+,W,F,PSY,201108.0,PSY
26,201508,26,CHEM,2400,,4.0,B,I,F,BIO,201108.0,BIO
27,201508,27,CHEM,1212,K,4.0,C+,Z,F,BIO,201108.0,BIO
28,201508,28,CHEM,2400,,4.0,C,,F,BIO,201108.0,BIO
29,201508,29,CHEM,1212,K,4.0,C-,,M,BIO,201108.0,BIO
30,201508,30,CHEM,1212,K,4.0,W,I,M,NUR,201108.0,NUR
31,201508,31,CHEM,1212,K,4.0,W,B,M,AC,201108.0,AC
32,201508,32,CHEM,1211,K,4.0,C,W,M,BIO,201108.0,BIO
33,201508,33,CHEM,2400,,4.0,C,Z,M,BIO,201108.0,BIO
34,201508,34,CHEM,2400,,4.0,C-,Z,F,BIO,201108.0,BIO
35,201508,35,CHEM,2400,,4.0,I,W,M,PHY,201108.0,PHY
36,201508,36,CHEM,1212,K,4.0,W,W,F,NUR,201108.0,NUR
37,201508,37,CHEM,1211,K,4.0,C,B,F,BIO,201108.0,BIO
38,201508,38,CHEM,1212,K,4.0,C+,B,M,PHY,201108.0,PHY
39,201508,39,CHEM,1211,K,4.0,F,W,M,BIO,201108.0,BIO
40,201508,40,CHEM,1211,K,4.0,A,W,F,BIO,201108.0,BIO
41,201508,41,CHEM,1211,K,4.0,B,,F,BIO,201108.0,BIO
42,201508,42,CHEM,1212,K,4.0,C,B,F,BIO,201108.0,BIO
43,201508,43,CHEM,1212,K,4.0,B-,W,F,NUR,201108.0,NUR
44,201508,44,CHEM,1211,K,4.0,A-,Z,M,0000,201108.0,0000
45,201508,45,CHEM,1211,K,4.0,A-,B,F,BIO,201108.0,BIO
46,201508,46,CHEM,1211,K,4.0,C+,W,F,0000,201108.0,0000
47,201508,47,CHEM,1212,K,4.0,D,B,F,CHM,201108.0,CHM
48,201508,48,CHEM,1211,K,4.0,B-,Z,M,0000,201108.0,0000
49,201508,49,CHEM,2400,,4.0,B,Z,F,BIO,201108.0,BIO
50,201508,50,CHEM,2400,,4.0,B+,B,F,0000,201108.0,0000
51,201508,51,CHEM,1211,K,4.0,A,W,M,BIO,201108.0,BIO
52,201508,52,CHEM,1211,K,4.0,A+,Z,F,BIO,201108.0,BIO
53,201508,53,CHEM,1211,K,4.0,B,W,M,CSC,201108.0,CSC
54,201508,54,CHEM,1211,K,4.0,A-,B,F,BIO,201108.0,BIO
55,201508,55,CHEM,2400,,4.0,B,W,M,BIO,201108.0,BIO
56,201508,56,CHEM,1211,K,4.0,F,W,F,BIO,201108.0,BIO
57,201508,57,CHEM,1211,K,4.0,B+,W,F,BIO,201108.0,BIO
58,201508,58,CHEM,1211,K,4.0,B,W,M,BIO,201108.0,BIO
59,201508,59,CHEM,1211,K,4.0,C+,B,F,0000,201108.0,0000
60,201508,60,CHEM,1211,K,4.0,B+,Z,F,BIO,201108.0,BIO
61,201508,61,CHEM,1211,K,4.0,B,Z,F,BIO,201108.0,BIO
62,201508,62,CHEM,1211,K,4.0,A,W,F,BIO,201108.0,BIO
63,201508,63,CHEM,1211,K,4.0,C+,B,M,BIO,201108.0,BIO
64,201508,64,CHEM,1211,K,4.0,C,BW,F,CHM,201108.0,CHM
65,201508,65,CHEM,1211,K,4.0,C,B,M,BIO,201108.0,BIO
66,201508,66,CHEM,1211,K,4.0,B,Z,M,BIO,201108.0,BIO
67,201508,67,CHEM,1211,K,4.0,A,B,F,BIO,201108.0,BIO
68,201508,68,CHEM,1211,K,4.0,B+,B,M,BIO,201108.0,BIO
69,201508,69,CHEM,1211,K,4.0,A-,B,F,BIO,201108.0,BIO
70,201508,70,CHEM,1211,K,4.0,A,Z,M,CHM,201108.0,CHM
71,201508,71,CHEM,1211,K,4.0,B,B,F,BIO,201108.0,BIO
72,201508,72,CHEM,1212,K,4.0,F,B,F,BIO,201108.0,BIO
73,201508,73,CHEM,1211,K,4.0,C+,B,M,BIO,201108.0,BIO
74,201508,74,CHEM,1211,K,4.0,B,Z,F,0000,201108.0,0000
75,201508,75,CHEM,1211,K,4.0,B,B,F,BIO,201108.0,BIO
76,201508,76,CHEM,1211,K,4.0,W,W,M,EXS,201108.0,EXS
77,201508,77,CHEM,1212,K,4.0,A+,W,M,BIO,201108.0,BIO
78,201508,78,CHEM,1211,K,4.0,B+,W,F,CHM,201108.0,CHM
79,201508,79,CHEM,1211,K,4.0,A,W,M,PHY,201108.0,PHY
80,201508,80,CHEM,1211,K,4.0,A-,Z,F,BIO,201108.0,BIO
81,201508,81,CHEM,1211,K,4.0,B+,W,M,0000,201108.0,0000
82,201508,82,CHEM,1211,K,4.0,A-,Z,F,BIO,201108.0,BIO
83,201508,83,CHEM,1211,K,4.0,A,W,M,EC,201108.0,EC
84,201508,84,CHEM,1211,K,4.0,A+,B,M,BIO,201108.0,BIO
85,201508,85,CHEM,1211,K,4.0,A+,Z,F,BIO,201108.0,BIO
86,201508,86,CHEM,1211,K,4.0,B,B,F,BIO,201108.0,BIO
87,201508,87,CHEM,1211,K,4.0,C,B,F,PSY,201108.0,PSY
88,201508,88,CHEM,1211,K,4.0,I,B,M,CHM,201108.0,CHM
89,201508,89,CHEM,1211,K,4.0,B+,W,M,BIO,201108.0,BIO
90,201508,90,CHEM,1211,K,4.0,W,W,F,PSY,201108.0,PSY
91,201508,91,CHEM,1211,K,4.0,B,W,M,BIO,201108.0,BIO
92,201508,92,CHEM,1211,K,4.0,A,Z,M,0000,201108.0,0000
93,201508,93,CHEM,1211,K,4.0,A,Z,M,BIO,201108.0,BIO
94,201508,94,CHEM,1211,K,4.0,A,Z,M,CHM,201108.0,CHM
95,201508,95,CHEM,1211,K,4.0,A+,Z,M,0000,201108.0,0000
96,201508,96,CHEM,1211,K,4.0,B,Z,F,BIO,201108.0,BIO
97,201508,97,CHEM,1211,K,4.0,I,B,F,BIO,201108.0,BIO
98,201508,98,CHEM,1211,K,4.0,A-,W,M,BIO,201108.0,BIO
99,201508,99,CHEM,2400,,4.0,B+,W,F,0000,201108.0,0000
100,201508,100,CHEM,1211,K,4.0,B,Z,M,BIO,201108.0,BIO
101,201508,101,CHEM,1211,K,4.0,B+,W,M,PHY,201108.0,PHY
102,201508,102,CHEM,1211,K,4.0,A+,Z,M,0000,201108.0,0000
103,201508,103,CHEM,1212,K,4.0,A,B,F,CHM,201108.0,CHM
104,201508,104,CHEM,1211,K,4.0,A+,Z,M,BIO,201108.0,BIO
105,201508,105,CHEM,1211,K,4.0,A,Z,M,BIO,201108.0,BIO
106,201508,106,CHEM,1211,K,4.0,B-,W,F,BIO,201108.0,BIO
107,201508,107,CHEM,1211,K,4.0,B,Z,M,BIO,201108.0,BIO
108,201508,108,CHEM,1211,K,4.0,B,W,M,BIO,201108.0,BIO
109,201508,109,CHEM,1211,K,4.0,B-,B,F,BIO,201108.0,BIO
110,201508,110,CHEM,1211,K,4.0,C+,Z,F,BIO,201108.0,BIO
111,201508,111,CHEM,1211,K,4.0,A+,W,F,BIO,201108.0,BIO
112,201508,112,CHEM,1211,K,4.0,B,W,M,BIO,201108.0,BIO
113,201508,113,CHEM,1211,K,4.0,B,W,F,BIO,201108.0,BIO
114,201508,114,CHEM,1211,K,4.0,B,B,M,BIO,201108.0,BIO
115,201508,115,CHEM,1211,K,4.0,B+,Z,F,BIO,201108.0,BIO
116,201508,116,CHEM,1211,K,4.0,A+,W,F,BIO,201108.0,BIO
117,201508,117,CHEM,1211,K,4.0,B,Z,F,CHM,201108.0,CHM
118,201508,118,CHEM,1211,K,4.0,A,Z,M,CHM,201108.0,CHM
119,201508,119,CHEM,1211,K,4.0,I,Z,F,BIO,201108.0,BIO
120,201508,120,CHEM,1211,K,4.0,A,W,F,BIO,201108.0,BIO
121,201508,121,CHEM,1211,K,4.0,A+,Z,M,BIO,201108.0,BIO
122,201508,122,CHEM,1211,K,4.0,A,Z,M,0000,201108.0,0000
123,201508,123,CHEM,1211,K,4.0,B,Z,F,ART,201108.0,ART
124,201508,124,CHEM,1211,K,4.0,C,W,M,BUE,201108.0,BUE
125,201508,125,CHEM,1211,K,4.0,B,BW,F,0000,201108.0,0000
126,201508,126,CHEM,1211,K,4.0,W,W,F,MTH,201108.0,MTH
127,201508,127,CHEM,1211,K,4.0,A,B,M,BIO,201108.0,BIO
128,201508,128,CHEM,1211,K,4.0,A,Z,M,BIO,201108.0,BIO
129,201508,129,CHEM,1211,K,4.0,F,W,M,BIO,201108.0,BIO
130,201508,130,CHEM,1211,K,4.0,A+,Z,M,BIO,201108.0,BIO
131,201508,131,CHEM,1211,K,4.0,B+,W,M,0000,201108.0,0000
132,201508,132,CHEM,1211,K,4.0,B-,Z,F,BIO,201108.0,BIO
133,201508,133,CHEM,1211,K,4.0,C,B,F,BIO,201108.0,BIO
134,201508,134,CHEM,1211,K,4.0,A,Z,F,PSY,201108.0,PSY
135,201508,135,CHEM,1211,K,4.0,C,B,F,0000,201108.0,0000
136,201508,136,CHEM,1211,K,4.0,A-,Z,F,BIO,201108.0,BIO
137,201508,137,CHEM,1211,K,4.0,A,W,F,CHM,201108.0,CHM
138,201508,138,CHEM,1211,K,4.0,B+,B,F,CHM,201108.0,CHM
139,201508,139,CHEM,1211,K,4.0,A+,Z,F,BIO,201108.0,BIO
140,201508,140,CHEM,1211,K,4.0,B,Z,F,BIO,201108.0,BIO
141,201508,141,CHEM,1211,K,4.0,B,,F,IDS,201108.0,IDS
142,201508,142,CHEM,1211,K,4.0,C+,W,M,BIO,201108.0,BIO
143,201508,143,CHEM,1211,K,4.0,B,Z,F,CHM,201108.0,CHM
144,201508,144,CHEM,1211,K,4.0,B-,Z,F,CHM,201108.0,CHM
145,201508,145,CHEM,1211,K,4.0,B,W,F,BIO,201108.0,BIO
146,201508,146,CHEM,1211,K,4.0,F,B,M,BIO,201108.0,BIO
147,201508,147,CHEM,1212,K,4.0,A+,W,M,MUS,201108.0,MUS
148,201508,148,CHEM,1211,K,4.0,B,B,M,BIO,201108.0,BIO
149,201508,149,CHEM,1211,K,4.0,A,Z,F,BIO,201108.0,BIO
150,201508,150,CHEM,1211,K,4.0,B,Z,F,0000,201108.0,0000
151,201508,151,CHEM,1211,K,4.0,A-,,F,CHM,201108.0,CHM
152,201508,152,CHEM,1211,K,4.0,B+,W,F,CHM,201108.0,CHM
153,201508,153,CHEM,1211,K,4.0,C+,Z,F,BIO,201108.0,BIO
154,201508,154,CHEM,1211,K,4.0,I,W,M,BIO,201108.0,BIO
155,201508,155,CHEM,1211,K,4.0,B+,B,M,NEUR,201108.0,NEUR
156,201508,156,CHEM,1211,K,4.0,B,B,M,CHM,201108.0,CHM
157,201508,157,CHEM,1211,K,4.0,C+,B,M,BIO,201108.0,BIO
158,201508,158,CHEM,1211,K,4.0,A,W,M,CHM,201108.0,CHM
